FID;Area;MUNCod;NOMMun;ZAT;UTAM
0;958365,051378999950000;11001,000000000000000;Bogotá;83,000000000000000;UTAM13
1;324491,480270000000000;11001,000000000000000;Bogotá;854,000000000000000;UTAM11
2;194223,286014999990000;11001,000000000000000;Bogotá;20,000000000000000;UTAM10
3;886478,677073000000000;11001,000000000000000;Bogotá;561,000000000000000;UTAM85
4;908768,074575999980000;11001,000000000000000;Bogotá;947,000000000000000;UTAM85
5;1441757,428700000000000;11001,000000000000000;Bogotá;569,000000000000000;UTAM85
6;394394,524968000010000;11001,000000000000000;Bogotá;570,000000000000000;UTAM85
7;153850,834834999990000;11001,000000000000000;Bogotá;79,000000000000000;UTAM13
8;7020181,357900000200000;11001,000000000000000;Bogotá;304,000000000000000;UTAM117
9;1409421,895310000100000;11001,000000000000000;Bogotá;310,000000000000000;UTAM76
10;1288239,382239999900000;11001,000000000000000;Bogotá;405,000000000000000;UTAM77
11;877121,265122000010000;11001,000000000000000;Bogotá;407,000000000000000;UTAM77
12;478040,200824000000000;11001,000000000000000;Bogotá;76,000000000000000;UTAM13
13;401043,502701000020000;11001,000000000000000;Bogotá;75,000000000000000;UTAM13
14;168669,035157000010000;11001,000000000000000;Bogotá;74,000000000000000;UTAM13
15;445924,991256000010000;11001,000000000000000;Bogotá;73,000000000000000;UTAM13
16;594177,151741000010000;11001,000000000000000;Bogotá;72,000000000000000;UTAM13
17;2069555,852990000000000;11001,000000000000000;Bogotá;87,000000000000000;UTAM15
18;462848,521117999980000;11001,000000000000000;Bogotá;86,000000000000000;UTAM14
19;895814,958648000030000;11001,000000000000000;Bogotá;194,000000000000000;UTAM74
20;810032,951827000010000;11001,000000000000000;Bogotá;195,000000000000000;UTAM74
21;548001,476854000010000;11001,000000000000000;Bogotá;196,000000000000000;UTAM74
22;782968,043941000010000;11001,000000000000000;Bogotá;201,000000000000000;UTAM116
23;364692,141408999970000;11001,000000000000000;Bogotá;191,000000000000000;UTAM73
24;477803,747869000010000;11001,000000000000000;Bogotá;190,000000000000000;UTAM73
25;1061806,153059999900000;11001,000000000000000;Bogotá;302,000000000000000;UTAM116
26;931002,545205999980000;11001,000000000000000;Bogotá;192,000000000000000;UTAM73
27;309358,881876000030000;11001,000000000000000;Bogotá;189,000000000000000;UTAM73
28;792958,853787999950000;11001,000000000000000;Bogotá;120,000000000000000;UTAM72
29;1064452,406819999900000;11001,000000000000000;Bogotá;187,000000000000000;UTAM73
30;1058223,333470000000000;11001,000000000000000;Bogotá;37,000000000000000;UTAM71
31;409505,515430000030000;11001,000000000000000;Bogotá;38,000000000000000;UTAM27
32;1712415,480870000100000;11001,000000000000000;Bogotá;36,000000000000000;UTAM71
33;1214504,108779999900000;11001,000000000000000;Bogotá;33,000000000000000;UTAM27
34;663173,617668000050000;11001,000000000000000;Bogotá;836,000000000000000;UTAM27
35;540402,713855999990000;11001,000000000000000;Bogotá;99,000000000000000;UTAM28
36;1116372,440260000100000;11001,000000000000000;Bogotá;30,000000000000000;UTAM23
37;633091,108097000050000;11001,000000000000000;Bogotá;107,000000000000000;UTAM28
38;962599,462417999980000;11001,000000000000000;Bogotá;112,000000000000000;UTAM28
39;817925,372594999960000;11001,000000000000000;Bogotá;41,000000000000000;UTAM27
40;587812,738483999970000;11001,000000000000000;Bogotá;104,000000000000000;UTAM28
41;579557,067485000010000;11001,000000000000000;Bogotá;40,000000000000000;UTAM27
42;757512,583621999950000;11001,000000000000000;Bogotá;88,000000000000000;UTAM15
43;667177,271050999990000;11001,000000000000000;Bogotá;69,000000000000000;UTAM13
44;317050,491916000030000;11001,000000000000000;Bogotá;70,000000000000000;UTAM13
45;423565,579571000010000;11001,000000000000000;Bogotá;71,000000000000000;UTAM13
46;353698,563541000010000;11001,000000000000000;Bogotá;62,000000000000000;UTAM13
47;527645,341729999990000;11001,000000000000000;Bogotá;51,000000000000000;UTAM12
48;547460,818551999980000;11001,000000000000000;Bogotá;122,000000000000000;UTAM29
49;287516,503841999980000;11001,000000000000000;Bogotá;123,000000000000000;UTAM29
50;468033,963894999990000;11001,000000000000000;Bogotá;185,000000000000000;UTAM30
51;338939,484270000020000;11001,000000000000000;Bogotá;186,000000000000000;UTAM30
52;431744,902440999980000;11001,000000000000000;Bogotá;199,000000000000000;UTAM30
53;446954,338796000000000;11001,000000000000000;Bogotá;121,000000000000000;UTAM29
54;509077,524603999980000;11001,000000000000000;Bogotá;101,000000000000000;UTAM28
