zat_origen;total;prob;acum
0;81.471.661.521;0.00445908644105777;0.00445908644105777
7;14.826.856.089;0.000811499749921428;0.0052705861909792
9;539.838.500.452;0.00295463047246925;0.00822521666344845
11;51.155.738.308;0.00279984297377691;0.0110250596372254
12;8.379.401.438;0.000458619287231975;0.0114836789244573
16;2.622.223.448;0.000143518872748;0.0116271977972053
20;16.708.124.135;0.000914464838386594;0.0125416626355919
23;108.838.125;0.000595690082167474;0.0131373527177594
24;1.435.615.941;0.000785737697939233;0.0139230904156986
26;2.378.475.442;0.000130178118327406;0.014053268534026
27;1.918.072.503;0.00104979460728053;0.0151030631413066
28;2.512.325.991;0.00137503992834337;0.0164781030696499
33;274.518.190.414;0.0150248603974188;0.0315029634670688
40;18.580.117.695;0.0101692231802191;0.0416721866472879
41;1.362.535.162;7,46E+09;0.0417467605783077
42;3.062.667.911;0.00167625168070037;0.0434230122590081
46;672.508.256;0.00368075523420625;0.0471037674932144
47;24.885.550.012;0.00136202965012775;0.0484657971433421
52;74.707.779.015;0.00408888732877333;0.0525546844721154
53;5.443.622.725;0.00297938986760749;0.0555340743397229
54;489.518.137.681;0.00267921833142259;0.0582132926711455
55;1.584.172.824;0.000867045476661821;0.0590803381478073
56;8.405.766.128;0.000460062272799066;0.0595404004206064
59;5.285.805.114;0.00289301353058031;0.0624334139511867
62;2.951.527.368;0.00161542251886778;0.0640488364700545
63;34.414.579.898;0.00188357011177827;0.0659324065818328
65;1.312.726.379;0.000718478092644393;0.0666508846744772
67;7.759.289.259;0.000424679463768317;0.0670755641382455
68;1.889.053.254;0.00103391186506933;0.0681094760033148
69;3.239.871.827;0.00177323848131132;0.0698827144846261
75;5.751.686.501;0.00314799855692317;0.0730307130415493
76;3.252.049.398;0.00177990347877392;0.0748106165203232
77;8.405.766.128;0.000460062272799066;0.0752706787931223
83;2.296.675.965;0.00125701089972187;0.0765276896928442
86;2.077.270.591;0.00113692650349945;0.0776646161963436
87;63.130.583.262;0.00345524716919014;0.0811198633655338
88;4.807.397.973;0.00263117294013299;0.0837510363056668
89;201.522.185.268;0.011029661444541;0.0947806977502078
93;653.150.438;0.00357480651269894;0.0983555042629067
94;2.516.225.016;0.00137717393287774;0.0997326781957845
95;18.970.589.835;0.0010382935407585;0.100770971736543
99;4.923.709.121;0.00269483206446016;0.103465803801003
100;4.026.721.661;0.00220389514897159;0.105669698949975
101;3.864.779.477;0.00211526136104724;0.107784960311022
104;10.847.442.492;0.00593699488057739;0.113721955191599
106;2.839.083.173;0.00155387984550879;0.115275835037108
107;5.076.777.327;0.002778608969115;0.118054444006223
108;7.906.289.557;4,33E+09;0.118097716510925
110;58.474.201.398;0.00320039525078662;0.121298111761712
114;1.397.390.712;7,65E+09;0.121374593397908
115;4.872.036.012;0.00266655046869943;0.124041143866608
116;1.696.722.099;0.000928645662141532;0.124969789528749
120;3.211.302.756;0.00175760212938828;0.126727391658137
122;1.006.390.427;5,51E+08;0.126732899808853
123;2.185.913.698;0.000119638877495604;0.126852538686349
124;6.218.178.188;0.00340331761112359;0.130255856297473
125;3.997.910.854;0.0021881264907104;0.132443982788183
127;8.173.347.355;0.000447341587103164;0.132891324375286
130;1.163.009.401;0.000636535373650763;0.133527859748937
131;260.326.659.719;0.0142481331168095;0.147775992865746
134;157.986.342.379;0.00864686866601984;0.156422861531766
135;43.954.104.383;0.00240568496117578;0.158828546492942
136;27.358.569.216;0.00149738231380443;0.160325928806746
137;2.312.513.877;0.00126567926579363;0.16159160807254
138;32.646.026.163;0.00178677407456982;0.16337838214711
140;70.914.006.603;0.00388124753345079;0.167259629680561
