zat_origen;zat_destino;X.ViajesTot;total;prob
0;194;5362944558;81471661521;0.658258891236391
0;414;2224021147;81471661521;0.272980948894327
0;663;5602004471;81471661521;0.0687601598692821
7;7;4139713869;14826856089;0.279203753253614
7;699;1068714222;14826856089;0.720796246746386
9;7;2622223448;539838500452;0.048574220730912
9;13;1923696734;539838500452;0.3563467096899
9;14;1696722099;539838500452;0.314301795366458
9;20;8754384672;539838500452;0.0162166734396862
9;855;142819998;539838500452;0.264560600773043
11;7;2589045228;51155738308;0.0506110421554626
11;11;145571668;51155738308;0.284565667146739
11;12;3400952628;51155738308;0.664823290697799
12;59;8379401438;8379401438;1
16;7;2622223448;2622223448;1
20;310;1296237129;16708124135;0.775812484110443
20;1050;3745752845;16708124135;0.224187515889557
23;47;108838125;108838125;1
24;11;1435615941;1435615941;1
26;33;2378475442;2378475442;1
27;59;1918072503;1918072503;1
28;33;2512325991;2512325991;1
33;11;1435615941;274518190414;0.0522958401712816
33;33;3741010604;274518190414;0.0136275508677884
33;116;2564210204;274518190414;0.93407660896093
40;107;3387379361;18580117695;0.18231205079565
40;112;3997910854;18580117695;0.215171449375472
40;116;8547367345;18580117695;0.460027621208241
40;422;1297878526;18580117695;0.069853084211047
40;1048;1349581609;18580117695;0.0726357944095897
41;33;1362535162;1362535162;1
42;187;3062667911;3062667911;1
46;529;3151957408;672508256;0.468686797504535
46;551;3573125152;672508256;0.531313202495465
47;47;9087246693;24885550012;0.365161577245352
47;48;1087986467;24885550012;0.437196070199519
47;438;4918438649;24885550012;0.197642352555129
52;59;8220310725;74707779015;0.110032861816833
52;106;4947963845;74707779015;0.66230905405534
52;956;1700782984;74707779015;0.227658084127827
53;13;2429987353;5443622725;0.446391580709701
53;17;8499435687;5443622725;0.156135649297775
53;24;2023488502;5443622725;0.371717255993342
53;55;1402033013;5443622725;0.0257555139991815
54;12;1700476314;489518137681;0.347377590962346
54;23;7477509402;489518137681;0.152752448304026
54;26;9035323861;489518137681;0.0184575875039138
54;413;2356600884;489518137681;0.481412373229714
55;45;1584172824;1584172824;1
56;56;8405766128;8405766128;1
59;195;5285805114;5285805114;1
62;13;1277454862;2951527368;0.43281145750162
62;155;1674072506;2951527368;0.56718854249838
63;7;2622223448;34414579898;0.0761951317078954
63;400;3179235645;34414579898;0.923804868292105
65;131;1312726379;1312726379;1
67;47;7759289259;7759289259;1
68;89;1889053254;1889053254;1
69;40;1674241097;3239871827;0.516761522183513
69;90;156563073;3239871827;0.483238477816487
75;16;1693810521;5751686501;0.294489367719452
75;842;405787598;5751686501;0.705510632280547
76;180;2442377145;3252049398;0.751027074343352
76;995;809672253;3252049398;0.248972925656648
77;56;8405766128;8405766128;1
83;93;2296675965;2296675965;1
86;46;2077270591;2077270591;1
87;23;7477509402;63130583262;0.118445118287081
87;54;159099907;63130583262;0.252017166291202
87;74;3974308316;63130583262;0.629537715421718
88;140;2762143296;4807397973;0.574560981119755
88;390;2045254677;4807397973;0.425439018880245
89;33;2416641876;201522185268;0.119919396109474
89;116;8547367345;201522185268;0.424140266920639
89;141;9570500448;201522185268;0.0474910513463934
89;172;620058106;201522185268;0.0307687267868497
89;191;6009847256;201522185268;0.298222612463617
89;602;1601253899;201522185268;0.0794579463730272
93;209;2375502533;653150438;0.363699141085166
93;303;19319807;653150438;0.2957941367866
93;414;2224021147;653150438;0.340506722128233
94;309;2516225016;2516225016;1
95;170;1320286785;18970589835;0.695965068289085
95;238;5767721985;18970589835;0.304034931710915
99;106;4923709121;4923709121;1
100;1028;4026721661;4026721661;1
101;544;3864779477;3864779477;1
104;37;5899478647;10847442492;0.543858946599705
104;106;4947963845;10847442492;0.456141053400295
106;72;2839083173;2839083173;1
107;114;5076777327;5076777327;1
108;33;7906289557;7906289557;1
110;108;3368054459;58474201398;0.57598981747106
110;122;1719311927;58474201398;0.294029142065172
110;310;7600537538;58474201398;0.129981040463769
114;33;1397390712;1397390712;1
115;114;4872036012;4872036012;1
116;14;1696722099;1696722099;1
120;301;1566470838;3211302756;0.487799175917999
120;406;1644831918;3211302756;0.512200824082001
122;220;1006390427;1006390427;1
123;201;2185913698;2185913698;1
124;121;2067359251;6218178188;0.3324702490819
124;122;2081941817;6218178188;0.334815399953926
124;382;206887712;6218178188;0.332714350964173
125;112;3997910854;3997910854;1
127;614;8173347355;8173347355;1
130;129;1163009401;1163009401;1
131;113;6539792446;260326659719;0.251214856482972
131;117;8669204818;260326659719;0.333012563037441
131;126;3342604252;260326659719;0.128400381874375
131;192;2311616303;260326659719;0.0887967565632805
131;203;2907061108;260326659719;0.11166974258948
131;278;4962744516;260326659719;0.0190635278052461
131;305;2722777243;260326659719;0.0104590795500507
