"","X1","zat_origen","zat_destino","X.ViajesTot","total","prob","acum"
"1",4,7,7,41.39713869,148.26856089,0.279203753253614,0.279203753253614
"2",5,7,699,106.8714222,148.26856089,0.720796246746386,1
"3",6,9,7,26.22223448,539.838500452,0.048574220730912,0.048574220730912
"4",7,9,13,192.3696734,539.838500452,0.3563467096899,0.404920930420813
"5",8,9,14,169.6722099,539.838500452,0.314301795366458,0.719222725787271
"6",9,9,20,8.754384672,539.838500452,0.0162166734396863,0.735439399226957
"7",10,9,855,142.819998,539.838500452,0.264560600773043,1
"8",11,11,7,25.89045228,511.55738308,0.0506110421554626,0.0506110421554626
"9",12,11,11,145.571668,511.55738308,0.284565667146739,0.335176709302201
"10",13,11,12,340.0952628,511.55738308,0.664823290697799,1
"11",14,12,59,83.79401438,83.79401438,1,1
"12",15,16,7,26.22223448,26.22223448,1,1
"13",16,20,310,129.6237129,167.08124135,0.775812484110443,0.775812484110443
"14",17,20,1050,37.45752845,167.08124135,0.224187515889557,1
"15",18,23,47,108.838125,108.838125,1,1
"16",19,24,11,143.5615941,143.5615941,1,1
"17",20,26,33,23.78475442,23.78475442,1,1
"18",21,27,59,191.8072503,191.8072503,1,1
"19",22,28,33,251.2325991,251.2325991,1,1
"20",23,33,11,143.5615941,2745.18190414,0.0522958401712816,0.0522958401712816
"21",24,33,33,37.41010604,2745.18190414,0.0136275508677884,0.06592339103907
"22",25,33,116,2564.210204,2745.18190414,0.93407660896093,1
"23",26,40,107,338.7379361,1858.0117695,0.18231205079565,0.18231205079565
"24",27,40,112,399.7910854,1858.0117695,0.215171449375472,0.397483500171122
"25",28,40,116,854.7367345,1858.0117695,0.460027621208241,0.857511121379363
"26",29,40,422,129.7878526,1858.0117695,0.069853084211047,0.92736420559041
"27",30,40,1048,134.9581609,1858.0117695,0.0726357944095897,1
"28",31,41,33,13.62535162,13.62535162,1,1
"29",32,42,187,306.2667911,306.2667911,1,1
"30",33,46,529,315.1957408,672.508256,0.468686797504535,0.468686797504535
"31",34,46,551,357.3125152,672.508256,0.531313202495465,1
"32",35,47,47,90.87246693,248.85550012,0.365161577245352,0.365161577245352
"33",36,47,48,108.7986467,248.85550012,0.437196070199519,0.802357647444871
"34",37,47,438,49.18438649,248.85550012,0.197642352555129,1
"35",38,52,59,82.20310725,747.07779015,0.110032861816833,0.110032861816833
"36",39,52,106,494.7963845,747.07779015,0.66230905405534,0.772341915872173
"37",40,52,956,170.0782984,747.07779015,0.227658084127827,1
"38",41,53,13,242.9987353,544.3622725,0.446391580709701,0.446391580709701
"39",42,53,17,84.99435687,544.3622725,0.156135649297775,0.602527230007476
"40",43,53,24,202.3488502,544.3622725,0.371717255993342,0.974244486000818
"41",44,53,55,14.02033013,544.3622725,0.0257555139991815,1
"42",45,54,12,170.0476314,489.518137681,0.347377590962346,0.347377590962346
"43",46,54,23,74.77509402,489.518137681,0.152752448304026,0.500130039266372
"44",47,54,26,9.035323861,489.518137681,0.0184575875039138,0.518587626770286
