,Area,MUNCod,NOMMun,ZAT,UTAM
0,958365.051379,11001.0,Bogotá,83.0,UTAM13
1,324491.48027,11001.0,Bogotá,854.0,UTAM11
2,194223.286015,11001.0,Bogotá,20.0,UTAM10
3,886478.677073,11001.0,Bogotá,561.0,UTAM85
4,908768.074576,11001.0,Bogotá,947.0,UTAM85
5,1441757.4287,11001.0,Bogotá,569.0,UTAM85
6,394394.524968,11001.0,Bogotá,570.0,UTAM85
7,153850.834835,11001.0,Bogotá,79.0,UTAM13
8,7020181.3579,11001.0,Bogotá,304.0,UTAM117
9,1409421.89531,11001.0,Bogotá,310.0,UTAM76
10,1288239.38224,11001.0,Bogotá,405.0,UTAM77
11,877121.265122,11001.0,Bogotá,407.0,UTAM77
12,478040.200824,11001.0,Bogotá,76.0,UTAM13
13,401043.502701,11001.0,Bogotá,75.0,UTAM13
14,168669.035157,11001.0,Bogotá,74.0,UTAM13
15,445924.991256,11001.0,Bogotá,73.0,UTAM13
16,594177.151741,11001.0,Bogotá,72.0,UTAM13
17,2069555.85299,11001.0,Bogotá,87.0,UTAM15
18,462848.521118,11001.0,Bogotá,86.0,UTAM14
19,895814.958648,11001.0,Bogotá,194.0,UTAM74
20,810032.951827,11001.0,Bogotá,195.0,UTAM74
21,548001.476854,11001.0,Bogotá,196.0,UTAM74
22,782968.043941,11001.0,Bogotá,201.0,UTAM116
23,364692.141409,11001.0,Bogotá,191.0,UTAM73
24,477803.747869,11001.0,Bogotá,190.0,UTAM73
25,1061806.15306,11001.0,Bogotá,302.0,UTAM116
26,931002.545206,11001.0,Bogotá,192.0,UTAM73
27,309358.881876,11001.0,Bogotá,189.0,UTAM73
28,792958.853788,11001.0,Bogotá,120.0,UTAM72
29,1064452.40682,11001.0,Bogotá,187.0,UTAM73
30,1058223.33347,11001.0,Bogotá,37.0,UTAM71
31,409505.51543,11001.0,Bogotá,38.0,UTAM27
32,1712415.48087,11001.0,Bogotá,36.0,UTAM71
33,1214504.10878,11001.0,Bogotá,33.0,UTAM27
34,663173.617668,11001.0,Bogotá,836.0,UTAM27
35,540402.713856,11001.0,Bogotá,99.0,UTAM28
36,1116372.44026,11001.0,Bogotá,30.0,UTAM23
37,633091.108097,11001.0,Bogotá,107.0,UTAM28
38,962599.462418,11001.0,Bogotá,112.0,UTAM28
39,817925.372595,11001.0,Bogotá,41.0,UTAM27
40,587812.738484,11001.0,Bogotá,104.0,UTAM28
41,579557.067485,11001.0,Bogotá,40.0,UTAM27
42,757512.583622,11001.0,Bogotá,88.0,UTAM15
43,667177.271051,11001.0,Bogotá,69.0,UTAM13
44,317050.491916,11001.0,Bogotá,70.0,UTAM13
45,423565.579571,11001.0,Bogotá,71.0,UTAM13
46,353698.563541,11001.0,Bogotá,62.0,UTAM13
47,527645.34173,11001.0,Bogotá,51.0,UTAM12
48,547460.818552,11001.0,Bogotá,122.0,UTAM29
49,287516.503842,11001.0,Bogotá,123.0,UTAM29
50,468033.963895,11001.0,Bogotá,185.0,UTAM30
51,338939.48427,11001.0,Bogotá,186.0,UTAM30
52,431744.902441,11001.0,Bogotá,199.0,UTAM30
53,446954.338796,11001.0,Bogotá,121.0,UTAM29
54,509077.524604,11001.0,Bogotá,101.0,UTAM28
55,306817.149242,11001.0,Bogotá,100.0,UTAM28
56,750883.774155,11001.0,Bogotá,105.0,UTAM28
57,319262.151704,11001.0,Bogotá,95.0,UTAM24
58,985929.164758,11001.0,Bogotá,89.0,UTAM19
59,348781.441245,11001.0,Bogotá,68.0,UTAM19
60,895633.187747,11001.0,Bogotá,93.0,UTAM24
61,1062068.16095,11001.0,Bogotá,67.0,UTAM19
62,612022.728462,11001.0,Bogotá,66.0,UTAM19
63,532934.481591,11001.0,Bogotá,45.0,UTAM23
64,942601.437634,11001.0,Bogotá,46.0,UTAM18
65,121284.053005,11001.0,Bogotá,126.0,UTAM28
66,463973.445656,11001.0,Bogotá,125.0,UTAM29
67,457610.838798,11001.0,Bogotá,129.0,UTAM29
68,381898.836909,11001.0,Bogotá,184.0,UTAM30
69,281817.146467,11001.0,Bogotá,183.0,UTAM30
70,1438127.51596,11001.0,Bogotá,127.0,UTAM25
71,400029.76701,11001.0,Bogotá,91.0,UTAM19
72,552761.265804,11001.0,Bogotá,140.0,UTAM20
73,565625.945456,11001.0,Bogotá,852.0,UTAM16
74,719578.355448,11001.0,Bogotá,138.0,UTAM20
75,970276.946163,11001.0,Bogotá,133.0,UTAM24
76,1080017.8431,11001.0,Bogotá,147.0,UTAM16
77,494957.544086,11001.0,Bogotá,851.0,UTAM16
78,534980.804622,11001.0,Bogotá,143.0,UTAM20
