cycle: 0; siniestros_generados:0
cycle: 1; siniestros_generados:132
cycle: 2; siniestros_generados:293
cycle: 3; siniestros_generados:454
cycle: 4; siniestros_generados:615
cycle: 5; siniestros_generados:776
cycle: 6; siniestros_generados:937
cycle: 7; siniestros_generados:1202
cycle: 8; siniestros_generados:1711
cycle: 9; siniestros_generados:2220
cycle: 10; siniestros_generados:2729
cycle: 11; siniestros_generados:3238
cycle: 12; siniestros_generados:3747
cycle: 13; siniestros_generados:4502
cycle: 14; siniestros_generados:5352
cycle: 15; siniestros_generados:6202
cycle: 16; siniestros_generados:7052
cycle: 17; siniestros_generados:7902
cycle: 18; siniestros_generados:8752
cycle: 19; siniestros_generados:9602
cycle: 20; siniestros_generados:10452
cycle: 21; siniestros_generados:11302
cycle: 22; siniestros_generados:12152
cycle: 23; siniestros_generados:13002
cycle: 24; siniestros_generados:13852
cycle: 25; siniestros_generados:14702
cycle: 26; siniestros_generados:15552
